url,title,domain,seendate
https://news.google.com/rss/articles/CBMipAFBVV95cUxOc2wwSkttSHNhOXhVaDF6NzdDWThCUHRrUHUtTFo0aE82MjRuOTJXaDdDeUp0UktlbnpsWnNIQUN1YlpWZFZuSlNUV1huR05MYzdCU2lXZjNSYWFGaU9GSHNybkVxU1FiTmN0c2c4Y2s1OTRnemJHdFV4bzdlLU0wLWkySEI1SnpYa3hxVGxZUkRsX1FmTW5IWGdKeEt5RDhLSWdMeQ?oc=5,Park Service quietly awards contracts to work on Trump’s takeover of East Potomac golf course - The Independent,The Independent,2026-09-16 22:44:00+00:00
https://news.google.com/rss/articles/CBMilAJBVV95cUxOZlhvd0pmU3NLVEd6SDc4M0xnOWZhVjNLRUxkc3RNRFFocFFDRUozNmlNQlI5NVlDSVpiXzhEaDZ2aFh4SlRiZUNhUHFxM1lqLTJGZTQzbXBuMUEzdWFKWFk3SzZhcFBoWVFrQnBvamxPNDhrcm9CVXpaSjBwc1dHU2JzTUJPbkszUDhnTGtZWGYwbEpQNWp1VmdFYmxJeUl5MzdNeGVFM0Q5N1dZUEhwSnQwaS1tWnNST2xSN2VTOXFwdVI2UEtsUnBfWFcycmFLc251ZkxibW5FZTI2YmhBQ1YyeHRoU2wwc21WMzhZLXBqN21NSHhOSXJMVW1vTjRPck9heW83S0VNYWxEdkpzZF9KOEM?oc=5,Park Service quietly awards contracts to work on Trump’s takeover of East Potomac golf course - Ottumwa Courier,Ottumwa Courier,2026-09-16 22:02:56+00:00
https://news.google.com/rss/articles/CBMiswNBVV95cUxQUXNLWGVmUVRXaC1MekdraVRzZEVyQUFVbUdnU09EZWt6OUZMdGMwTmsyZFR2TXdXbi05cDdDeEI0TlhPRThtNlgyVlhDc3FKRlpjODhlRzVxWUZUV1V4cWhPUEN2cF9HV3ZMMGZHZ3VmRXZkVnBDNTNoVy1tRkZuRkdfeEpiWC1GRXhieElISTluZmNvRmJkRHh1WmljYlE4MHFkZHB5SHg3ZXlfUG9zYU1IaHkzamhZNFdxSjMwczhVSF9YMkJuQm5fQm13YkhuN2w3cTRXM1hrNE4tVUoySENwb2hPblNTbUp1TGVYSFpVN0VXT04ybUxaTVFtNk0tVktLcEJxbjBHNUJJSm5hZ2VCU1hOWTJoS0JQTm10MXlqR3JnRjZUSTlvTVB1ZjRMZlNrWGN5bU9qc2JTWlNYZ0pPd3o3ZEZLOWs1a3RBaTFra0s2WjFQVVNWRmwwY0ZyUkRzZXE1WHJVZ1BWRFBPQWlHeTdIaVlPNUlJX2ZWVlNrajdhZWlGVW9GQ3ZEVjVUYnpkMWV1VXI3QXJXMlJvaGtEM0RScms4VWZDekItUWFmUFk?oc=5,"House Natural Resources Committee-Democrats Demands Answers After Park Service Quietly Hires Contractors for Trump Golf Course, Say, “East Potomac Park Does Not Belong To Donald Trump,” The Lawmakers Wrote. “It Belongs To The American Peopl - Sierra Sun Times",Sierra Sun Times,2026-09-17 12:02:34+00:00
https://news.google.com/rss/articles/CBMihgJBVV95cUxORWN5aW15UDIxNkh0SHF3UHZYUjl0X2V3OUFxT3RjU2xtMGlZNGRpdU9sTzJjR0NtcXBBS3Y0MzdPY3RoTy1XelVHNzU5YkZSV2l5YUVqaHY0YmFvZFJEWktYQVZWVTV3cnV1RC1IaVBoODVhY2wyZDh3SnJPWWtIaDNSeHhsUTBjT0FmY1U4dGtWTnNjcUtrOUdvTmZvSTBMOS1KdGhkak1xUkdmNFRVdllhbmthQXlfMDdSekNCRERUVkpJRVdtRml0aHRSbUdpN1QwXzNDaE8teW1NQW1UcTJyOUREMHlNQ1NyRl9OcUplY3k3WDE3czY5cWdrdUpxOU01M1l3?oc=5,Park Service quietly awards contracts to work on Trump’s takeover of East Potomac golf course - The Register-Herald,The Register-Herald,2026-09-17 00:31:51+00:00
https://news.google.com/rss/articles/CBMicEFVX3lxTFBaaUUwLVZsVlRTUm1hb3JCTm9STjcyVndJbWFIQmxtbnoyVEVHRkRSdlBPSE9IdF9GSHBpMEVCVlEyOUdHU2ZBXzhJM2dfNE5kRWxzaG1KRzhMSVRLdUxRdDhOdjJlLUVyeGxEeE53LWo?oc=5,Park Service Has Removed 150 Trees at East Potomac Park - City Cast DC,City Cast DC,2026-09-03 21:53:55+00:00
https://news.google.com/rss/articles/CBMipAFBVV95cUxQQXhyblVsWHhZR2cwNXlZeGZPcnFScU1PYzhoUy1NZjJNZ0U2UkdrVHBsaXdKOHlDTVE5MXpER1RDS01QdUp5VGIxYXpkakM0bFMtRmxldXJ4QzNkUnFhQm5rSS1IZXdOeFZzT0NYOGIyQmo0cUs5S0c2YnNVV2paM2hqZjVrbWFBekI5alo5TkdaR0pRVjlPN0gyNFUwNkM2NXpsNdIBrAFBVV95cUxOd2Frd2xSOTRla3Q2VERIOEtxaWE0SFdKaWgyamJQWDA0bjYxa3FaT05CTk9lR3pNQ1FRd1JTZFNBa0NUWjh0LWZiNkRkeU5FaExMWE02WlFnRFZKNkd3amZGaklnZ3ZhbFFrdFc2SHl0czBwMnVZNl83S3l0TDItazNXZXNPd0N5SVVBWko2VUVJUDZzNFdmLTZ4OF9Yb2ZXUjJVQnNWNV96RlBE?oc=5,Cyclists rally to save Hains Point in East Potomac Park - NBC4 Washington,NBC4 Washington,2026-08-29 07:00:00+00:00
https://news.google.com/rss/articles/CBMipgFBVV95cUxNcXg4d2FzbFNYVGtDRnZYNjJmTko2ckQxZFlUc2dQbGptZm5iR3lXVENSeXlhbVhOdm82M3pIUjR1YVZVOFAtNDJxMTJodWlha3VuSDhEYVl6eWFxeHBORm4tNHFIVDhMUW40TmhRUnpzV1VtYU4wejN2QUJpZU5NY0R0NUI1cDNIdUN0TnVnMWFKT3Z6c1BvVGF6eUZDMlZ4Vk1nTVNn?oc=5,Controversial renovations may begin Tuesday at DC’s East Potomac golf course - WTOP News,WTOP News,2026-09-01 07:00:00+00:00
https://news.google.com/rss/articles/CBMilwFBVV95cUxNUGFqUldhR2wtN2I1bmxpME45OEgwWGxRclV2d0Rkc1JhZmpGNWUxYlI3Q2NCVjRiVUc1Q1V4MTRLSm9VNENjRzl5MFQzRVNuOTV2UjN1UnRaNHczN2drbF9tc1pYaTRMUmxyYU51OUk2ZFBaaUdHQnU1UnlHYzZVTWFsZmpJUnllVnhMeXVYckc4cFNSUTc40gGcAUFVX3lxTE5mWDRCUFkzbnVrbFl1eHZHWF8wUDh2eENtN3EySmFhd2w5dlkyVThsOVdNbklESWt6T3JDNmJJeUlXbmxJQjBCSWZrd3ljRGRvUjJTVUdNYV9DeDdsODZFbTlBNGpqZ3pUelNoMGJWZFFmcFN3RndBeUZCS2lwa3RrSE5sV084Unh2NmQtRTRtWkVnNGJLLVZnekFJZg?oc=5,Reaction: Judge weighs in on East Potomac Park - dcnewsnow.com,dcnewsnow.com,2026-09-05 07:00:00+00:00
https://news.google.com/rss/articles/CBMixgFBVV95cUxOS1hLVmQwSE0wWkNRMWtIWE5IRjliOE11Sm81SnlzNm50RXlvRTYzeV8yblBBUVNhd0piRFpGX21IVHVrOWo5dUdnWHpSUUNVUWNyMFZzUzZ2RGlhU0RUREdEdUlNcVNYNno0cDg2TVI5TEpjeGp3M3JiWEpFY2o4N1NVRlluRUx1R0JSeW02S3F2eE5HenhqVUx6OFlNUlRWT3JsckY3TWN2QXJVR3NVQm5QTS11dmZlRmMzLU01eElmcUFsZXfSAcsBQVVfeXFMUHQ3RlFZZENycWtCRGt3Qnh1bDJYeFQzZ043TE1ZS2FkVHhkaEFGLXlfMDQ0UWFQbklBRFF1MkVpXzk2ZnVLSzY4SUpTMEFmR2p6Z1dadFd2cU5aRmU4b3BXX3FsS0Q5VmJwOTFEQnlmRk5kalEzT3BGdGFJSFN0cW84SzhxZUR4Q29qb0hrbVhZX20ydlRfZ3E2SWhuYk02UXY5STVDZFl4eVUyVy1fWERJNjEzUHA2b2xrcjVHSFc1RHZkU1dkWDlhNHc?oc=5,Government sheds more light on work at East Potomac Park - dcnewsnow.com,dcnewsnow.com,2026-09-03 07:00:00+00:00
https://news.google.com/rss/articles/CBMikAFBVV95cUxPSU9tYmNmLUlycXZCNEdqelN2bVN2QjlEdFNGdkFCRzJzbVl3YlZWN0MwNmFqUUlCdV9SUm4xS3ROS3YtQTZlYlpmeENLN1FTTUUwNGlObGxINTlNWno3VmM0eHdxQmY5QkMwN1hvcmtSMzg4Vnl2OXdmTXA5bUdaUWFCcWRFVjJmeUJHZEJSWUo?oc=5,Reaction: Judge weighs in on East Potomac Park - dcnewsnow.com,dcnewsnow.com,2026-09-04 21:13:52+00:00
